location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,aged_65_older,gdp_per_capita,cardiovasc_death_rate,population
Iran,Dec-20,34734095,263072,1628587,6977,392251.522,2970.869,18391.603,78.792,168.64,591561.22,8379.548,2745067608
Iran,Dec-21,191035846,76956,4056842,1776,2157364.432,869.062,45813.843,20.056,168.64,591561.22,8379.548,2745067608
Iran,Dec-22,75599252,399,1446448,25,853741.017,4.505,16334.71,0.282,54.4,190826.2,2703.08,885505680
Iran,Feb-20,1617,593,171,43,18.262,6.697,1.933,0.486,59.84,209908.82,2973.388,974056248
Iran,Feb-21,42690161,213170,1652624,2114,482099.234,2407.327,18663.052,23.874,152.32,534313.36,7568.624,2479415904
Iran,Feb-22,190385654,678255,3758632,4384,2150021.827,7659.522,42446.163,49.509,152.32,534313.36,7568.624,2479415904
Iran,Mar-20,525947,44012,34200,2855,5939.509,497.025,386.221,32.241,168.64,591561.22,8379.548,2745067608
Iran,Mar-21,54610163,254395,1903718,2592,616711.607,2872.88,21498.654,29.272,168.64,591561.22,8379.548,2745067608
Iran,Mar-22,220835641,110791,4309994,3366,2493892.992,1251.161,48672.685,38.01,168.64,591561.22,8379.548,2745067608
Iran,Apr-20,2255837,50035,141323,3130,25475.125,565.042,1595.957,35.346,163.2,572478.6,8109.24,2656517040
Iran,Apr-21,65501367,613513,1991952,9093,739705.78,6928.392,22495.08,102.687,163.2,572478.6,8109.24,2656517040
Iran,Apr-22,215997472,59433,4222147,879,2439255.634,671.178,47680.634,9.928,163.2,572478.6,8109.24,2656517040
Iran,May-20,3727988,56826,215665,1769,42100.106,641.737,2435.5,19.976,168.64,591561.22,8379.548,2745067608
Iran,May-21,84973293,414059,2376409,8398,959601.899,4675.962,26836.745,94.84,168.64,591561.22,8379.548,2745067608
Iran,May-22,224065933,10381,4378023,232,2530372.624,117.234,49440.938,2.621,168.64,591561.22,8379.548,2745067608
Iran,Jun-20,5749446,76196,273942,3020,64928.394,860.482,3093.622,34.105,163.2,572478.6,8109.24,2656517040
Iran,Jun-21,91721205,291421,2470703,4108,1035805.948,3291.012,27901.604,46.393,163.2,572478.6,8109.24,2656517040
Iran,Jun-22,217035208,6092,4240703,74,2450974.77,68.798,47890.188,0.836,163.2,572478.6,8109.24,2656517040
Iran,Jul-20,8279348,76542,424660,5949,93498.53,864.388,4795.68,67.181,168.64,591561.22,8379.548,2745067608
Iran,Jul-21,108611906,666451,2698205,6366,1226552.333,7526.22,30470.782,71.892,168.64,591561.22,8379.548,2745067608
Iran,Jul-22,225983249,152900,4388486,609,2552024.836,1726.697,49559.098,6.876,168.64,591561.22,8379.548,2745067608
Iran,Aug-20,10622742,71008,604984,4805,119962.44,801.894,6832.073,54.263,168.64,591561.22,8379.548,2745067608
Iran,Aug-21,138294286,1121055,3062035,17164,1561754.927,12660.056,34579.508,193.831,168.64,591561.22,8379.548,2745067608
Iran,Aug-22,231855446,137935,4434106,1869,2618339.457,1557.698,50074.283,21.106,168.64,591561.22,8379.548,2745067608
Iran,Sep-20,12365981,82007,711109,4598,139648.804,926.104,8030.543,51.929,163.2,572478.6,8109.24,2656517040
Iran,Sep-21,160347125,594977,3459212,12634,1810797.251,6719.064,39064.819,142.677,163.2,572478.6,8109.24,2656517040
Iran,Sep-22,226233725,19687,4326864,559,2554853.46,222.328,48863.198,6.31,163.2,572478.6,8109.24,2656517040
Iraq,Jan-21,18838341,24345,401040,234,423370.381,547.128,9012.92,5.257,98.766,485583.566,6776.972,1379379844
Iraq,Jan-22,66050331,116842,751919,231,1484406.394,2625.893,16898.526,5.188,98.766,485583.566,6776.972,1379379844
Iraq,Oct-20,13048781,109649,313539,1729,293256.575,2464.237,7046.435,38.859,98.766,485583.566,6776.972,1379379844
