Country,Time,Annual CO2 emissions (per capita)
Bosnia and Herzegovina,2020,6.3081264
Bosnia and Herzegovina,2021,4.1475167
Botswana,2015,2.351754
Botswana,2016,2.6985843
Botswana,2017,2.9466195
Botswana,2018,3.0612
Botswana,2019,2.7131457
Botswana,2020,2.4578147
Botswana,2021,2.5111492
Brazil,2015,2.5798414
Brazil,2016,2.382041
Brazil,2017,2.3856156
Brazil,2018,2.2701142
Brazil,2019,2.243357
Brazil,2020,2.074642
Brazil,2021,2.281014
Brunei,2015,16.451086
Brunei,2016,17.917572
Brunei,2017,21.635138
Brunei,2018,21.516897
Brunei,2019,23.940914
Brunei,2020,23.890211
Brunei,2021,23.531528
Bulgaria,2015,6.6026607
Bulgaria,2016,6.277177
Bulgaria,2017,6.6230726
Bulgaria,2018,6.128069
Bulgaria,2019,5.99157
Bulgaria,2020,5.296769
Bulgaria,2021,6.1808095
Burkina Faso,2015,0.19847102
Burkina Faso,2016,0.20253624
Burkina Faso,2017,0.22782168
Burkina Faso,2018,0.24262862
Burkina Faso,2019,0.25278836
Burkina Faso,2020,0.25038716
Burkina Faso,2021,0.25783187
Burundi,2015,0.03674386
Burundi,2016,0.042871036
Burundi,2017,0.047545392
Burundi,2018,0.05949706
Burundi,2019,0.060455058
Burundi,2020,0.05377387
Burundi,2021,0.055206448
Cambodia,2015,0.5426039
Cambodia,2016,0.6990081
Cambodia,2017,0.78991115
Cambodia,2018,0.89784485
Cambodia,2019,1.1121005
Cambodia,2020,1.1406623
Cambodia,2021,1.1470591
Cameroon,2015,0.42805457
Cameroon,2016,0.41930938
Cameroon,2017,0.39328888
Cameroon,2018,0.38417488
Cameroon,2019,0.36865783
Cameroon,2020,0.34001195
Cameroon,2021,0.3418291
Canada,2015,16.072325
Canada,2016,15.521199
Canada,2017,15.635478
Canada,2018,15.778724
Canada,2019,15.5829935
Canada,2020,14.11671
Canada,2021,14.3004675
Cape Verde,2015,0.889177
Cape Verde,2016,0.9645576
Cape Verde,2017,1.0246974
Cape Verde,2018,1.0198998
Cape Verde,2019,1.0603964
Cape Verde,2020,1.0728298
Cape Verde,2021,1.1356577
Central African Republic,2015,0.037253227
Central African Republic,2016,0.040344343
Central African Republic,2017,0.043263398
Central African Republic,2018,0.043149922
Central African Republic,2019,0.04360792
Central African Republic,2020,0.040097516
Central African Republic,2021,0.041650932
Chad,2015,0.11915311
Chad,2016,0.1381128
Chad,2017,0.13111766
Chad,2018,0.12860341
Chad,2019,0.11919735
Chad,2020,0.10827454
Chad,2021,0.11291891
Chile,2015,4.575039
Chile,2016,4.658468
Chile,2017,4.5770864
Chile,2018,4.5166917
Chile,2019,4.8300643
Chile,2020,4.3436484
Chile,2021,4.3834257
China,2015,7.079569
China,2016,6.965584
China,2017,7.0986867
China,2018,7.306542
China,2019,7.5541654
China,2020,7.6889496
China,2021,8.04574
Colombia,2015,2.026165
Colombia,2016,2.0730493
Colombia,2017,1.6480842
Colombia,2018,1.6727245
Colombia,2019,1.9215612
Colombia,2020,1.6792564
Colombia,2021,1.7800757
Comoros,2015,0.24586529
Comoros,2016,0.28968737
Comoros,2017,0.35116428
Comoros,2018,0.37757528
Comoros,2019,0.39373294
Comoros,2020,0.35040462
Comoros,2021,0.3629009
Congo,2015,1.1180669
Congo,2016,1.1201208
Congo,2017,1.0733956
Congo,2018,1.2123058
Congo,2019,1.3178641
Congo,2020,1.3205227
Congo,2021,1.2790622
Cook Islands,2015,4.342212
Cook Islands,2016,4.170271
Cook Islands,2017,4.628122
Cook Islands,2018,4.665895
Cook Islands,2019,4.918695
Cook Islands,2020,5.2165394
Cook Islands,2021,5.367806
Costa Rica,2015,1.5129023
Costa Rica,2016,1.6183865
Costa Rica,2017,1.6416271
Costa Rica,2018,1.6325939
Costa Rica,2019,1.583944
Costa Rica,2020,1.3823137
Costa Rica,2021,1.5171846
Cote d'Ivoire,2015,0.40491787
Cote d'Ivoire,2016,0.49487668
Cote d'Ivoire,2017,0.48301277
Cote d'Ivoire,2018,0.40607384
Cote d'Ivoire,2019,0.40290913
Cote d'Ivoire,2020,0.4089189
Cote d'Ivoire,2021,0.42603302
Croatia,2015,4.1892962
Croatia,2016,4.2874274
Croatia,2017,4.470874
Croatia,2018,4.2601137
Croatia,2019,4.3240995
Croatia,2020,4.1179047
Croatia,2021,4.3598137
Cuba,2015,2.598672
Cuba,2016,2.4915743
Cuba,2017,2.224568
Cuba,2018,1.997767
Cuba,2019,2.0184536
Cuba,2020,1.7461034
Cuba,2021,1.9595414
Curacao,2015,40.834023
Curacao,2016,33.96805
Curacao,2017,26.78428
Curacao,2018,21.53964
Curacao,2019,10.150425
Curacao,2020,8.841388
Curacao,2021,9.686285
Cyprus,2015,5.8730283
Cyprus,2016,6.1570106
Cyprus,2017,6.22689
Cyprus,2018,6.024238
Cyprus,2019,5.9756975
Cyprus,2020,5.8742166
Cyprus,2021,6.1087165
Czechia,2015,9.97697
Czechia,2016,10.131072
Czechia,2017,10.231177
Czechia,2018,10.094166
Czechia,2019,9.586614
Czechia,2020,8.722278
Czechia,2021,9.241809
Democratic Republic of Congo,2015,0.035504702
Democratic Republic of Congo,2016,0.024734175
Democratic Republic of Congo,2017,0.02935178
Democratic Republic of Congo,2018,0.028385177
Democratic Republic of Congo,2019,0.02897969
Democratic Republic of Congo,2020,0.026739864
Democratic Republic of Congo,2021,0.027182981
Denmark,2015,6.204517
Denmark,2016,6.489258
Denmark,2017,6.0621467
Denmark,2018,6.021649
Denmark,2019,5.3409405
Denmark,2020,4.854752
Denmark,2021,5.0522227
Djibouti,2015,0.42895317
Djibouti,2016,0.3714898
Djibouti,2017,0.37660372
Djibouti,2018,0.36402908
Djibouti,2019,0.36555248
Djibouti,2020,0.33325964
Djibouti,2021,0.34297308
Dominica,2015,2.5114884
Dominica,2016,2.5612142
Dominica,2017,2.2892847
Dominica,2018,2.2757764
Dominica,2019,2.3590405
Dominica,2020,1.9983475
Dominica,2021,2.188569
Dominican Republic,2015,2.257829
Dominican Republic,2016,2.3409507
Dominican Republic,2017,2.2556932
Dominican Republic,2018,2.3924725
Dominican Republic,2019,2.6059487
Dominican Republic,2020,2.3982394
Dominican Republic,2021,2.6014054
Ecuador,2015,2.5485291
Ecuador,2016,2.4439662
Ecuador,2017,2.4001715
Ecuador,2018,2.2476408
Ecuador,2019,2.321556
Ecuador,2020,1.9590796
Ecuador,2021,2.321741
Egypt,2015,2.2970836
Egypt,2016,2.399037
Egypt,2017,2.5553803
Egypt,2018,2.3511283
Egypt,2019,2.4251409
Egypt,2020,2.194384
Egypt,2021,2.2846344
El Salvador,2015,1.0700842
El Salvador,2016,1.0552406
El Salvador,2017,0.9526126
El Salvador,2018,1.0212243
El Salvador,2019,1.1819563
El Salvador,2020,1.0330923
El Salvador,2021,1.1409876
Equatorial Guinea,2015,5.22169
Equatorial Guinea,2016,5.4043875
Equatorial Guinea,2017,5.419531
Equatorial Guinea,2018,4.000029
Equatorial Guinea,2019,2.986391
Equatorial Guinea,2020,3.125901
Equatorial Guinea,2021,3.1966193
Eritrea,2015,0.18898953
Eritrea,2016,0.19178715
Eritrea,2017,0.20732054
Eritrea,2018,0.24099113
Eritrea,2019,0.24450994
Eritrea,2020,0.22023872
Eritrea,2021,0.22666506
Estonia,2015,12.054009
Estonia,2016,13.343702
Estonia,2017,14.2404375
Estonia,2018,13.565124
Estonia,2019,9.329184
Estonia,2020,7.027731
Estonia,2021,7.86407
